Dates,Within 6 Months,Within 12 Months,Within 24 Months,Recession
date,number,number,number,number
1998-08-01,0.027057360354798703,0.0927891812756252,0.30336580115396383,-1
1998-09-01,0.04426615576642197,0.12408631411234466,0.3427159682436903,-1
1998-10-01,0.04366121505796463,0.126910907547634,0.3502663284812002,-1
1998-11-01,0.039531047588740785,0.11687544338301058,0.3297092712675067,-1
1998-12-01,0.03620544632891426,0.1109784013910984,0.321738658431059,-1
1999-01-01,0.03220981927506733,0.10266810932785471,0.30863963325865407,-1
1999-02-01,0.034479777036014056,0.10635089016993739,0.3154717557884561,-1
1999-03-01,0.03396126339421418,0.10500918404163251,0.3150696752690479,-1
1999-04-01,0.03346456401182967,0.10473099862021927,0.3158132449875873,-1
1999-05-01,0.03027306167574937,0.09609334421220568,0.2984682622485049,-1
1999-06-01,0.029435470405676997,0.09738646300152343,0.3059523349569292,-1
1999-07-01,0.02775292242675431,0.09592454492539645,0.30709923182622,-1
1999-08-01,0.023805231552364206,0.08879397198242828,0.3014169184277286,-1
1999-09-01,0.021735407112905565,0.0864750718874443,0.3036578116764146,-1
1999-10-01,0.021837760531281402,0.09526011674678808,0.33031958457034144,-1
1999-11-01,0.026281142034738796,0.12636462135465434,0.388226609177139,-1
1999-12-01,0.026318357029218302,0.13797964364164161,0.4245068998050856,-1
2000-01-01,0.03109082291546305,0.1589313194998075,0.46064558745853973,-1
2000-02-01,0.03502616774786135,0.17734435604340498,0.48945470051248485,-1
2000-03-01,0.037266443393658616,0.19622580428085912,0.5238861460571015,-1
2000-04-01,0.05009950583496667,0.23831015086074384,0.5694682040263823,-1
2000-05-01,0.06592507144686383,0.28971757947859456,0.6187877724292603,-1
2000-06-01,0.06706076582356313,0.30005165601998063,0.6376810030721219,-1
2000-07-01,0.07776408229112278,0.3259852813162454,0.6608768573118603,-1
2000-08-01,0.08368975562276237,0.34868919961815803,0.6842758855597553,-1
2000-09-01,0.12494310975831271,0.41267308223710664,0.7215944739553392,-1
2000-10-01,0.16187652346170114,0.4550522258025689,0.743989239882476,-1
2000-11-01,0.24944831188796357,0.5149360739351003,0.7677324260993129,-1
2000-12-01,0.32314019014683626,0.5565171323895057,0.7808561426305987,-1
2001-01-01,0.3339462275944058,0.5616001317224827,0.7787647152986493,-1
2001-02-01,0.34081414101257923,0.5375763715152283,0.7448434691047041,-1
2001-03-01,0.42721847593937173,0.5680183370961944,0.7419637257512887,-1
2001-04-01,0.4695689728831845,0.5724627191593392,0.728276474098301,100
2001-05-01,0.48570244482365194,0.5526306402631606,0.694368390140949,100
2001-06-01,0.5090751248510021,0.5213984027139016,0.6400309848466497,100
2001-07-01,0.5495373192600789,0.515033479202414,0.6111426663268573,100
2001-08-01,0.5991798650375574,0.5248383235265243,0.5982743576574411,100
2001-09-01,0.6452861498616138,0.5361010197175805,0.5873773330225114,100
2001-10-01,0.6674740078331418,0.5157431589969875,0.548824746935714,100
2001-11-01,0.6593164824196885,0.4726712782121844,0.49588640742716644,100
2001-12-01,0.6496965322204298,0.43351993746690104,0.44776727817897455,-1
2002-01-01,0.6226703629113843,0.3971442108777539,0.4057429052781764,-1
2002-02-01,0.5474005728408728,0.3418838045856283,0.3527664522631236,-1
2002-03-01,0.45200189393667173,0.2841446777225597,0.2993655950426732,-1
2002-04-01,0.3892062546042496,0.24785083076426873,0.26830559092518197,-1
2002-05-01,0.3395462416020748,0.2204517849254906,0.24656438289102298,-1
